date,price,short_ma,long_ma,signal,return,position,strategy_return,portfolio
2026-01-05,421.8,,,0,,0,,
2026-01-06,425.35,,,0,0.00841631104789009,0,0.0,100000.0
2026-01-07,419.6,422.25,,0,-0.013518279064300032,0,-0.0,100000.0
2026-01-08,428.1,424.3500000000001,,0,0.020257387988560582,0,0.0,100000.0
2026-01-09,432.75,426.81666666666666,,0,0.010861948142957267,0,0.0,100000.0
2026-01-12,430.2,430.3500000000001,,0,-0.0058925476603119975,0,-0.0,100000.0
2026-01-13,437.9,433.6166666666666,427.95714285714286,1,0.01789865178986516,1,0.0,100000.0
2026-01-14,441.25,436.45,430.7357142857142,1,0.0076501484357158756,1,0.0076501484357158756,100765.01484357158
2026-01-15,436.4,438.51666666666665,432.3142857142857,1,-0.010991501416430682,1,-0.010991501416430682,99657.45604019181
2026-01-16,444.8,440.81666666666666,435.9142857142857,1,0.019248395967002896,1,0.019248395967002896,101575.7022151176
2026-01-19,449.15,443.45,438.92142857142863,1,0.009779676258992787,1,0.009779676258992787,102569.07969856131
2026-01-20,445.7,446.55,440.7714285714286,1,-0.00768117555382386,1,-0.00768117555382386,101781.22859100251
2026-01-21,452.6,449.15000000000003,443.97142857142853,1,0.015481265425173918,1,0.015481265425173918,103356.93080612012
2026-01-22,458.3,452.2,446.88571428571424,1,0.012593901900132431,1,0.012593901900132431,104658.59785339118
2026-01-23,454.1,455.0,448.72142857142853,1,-0.00916430285838965,1,-0.00916430285838965,103699.47476592829
2026-01-26,447.85,453.4166666666667,450.35714285714283,1,-0.013763488218454079,1,-0.013763488218454079,102272.20826672755
2026-01-27,442.3,448.0833333333333,450.0,-1,-0.012392542145807761,-1,-0.012392542145807761,101004.79561543731
2026-01-28,438.75,442.9666666666667,448.5142857142857,-1,-0.008026226543070392,-1,0.008026226543070392,101815.48298698333
2026-01-29,431.9,437.65000000000003,446.54285714285714,-1,-0.015612535612535616,-1,0.015612535612535616,103405.08084102513
2026-01-30,435.6,435.4166666666667,444.11428571428576,-1,0.008566797869877352,-1,-0.008566797869877352,102519.23041474173
2026-02-02,429.4,432.3,439.9857142857143,-1,-0.01423324150596883,-1,0.01423324150596883,103978.41138024082
2026-02-03,423.85,429.6166666666666,435.6642857142857,-1,-0.012925011644154494,-1,0.012925011644154494,105322.33355807113
2026-02-04,418.2,423.81666666666666,431.42857142857144,-1,-0.013330187566356066,-1,0.013330187566356066,106726.30001932653
2026-02-05,412.75,418.26666666666665,427.20714285714286,-1,-0.01303204208512676,-1,0.01303204208512676,108117.16165276826
2026-02-06,416.9,415.95,424.0857142857143,-1,0.010054512416717065,-1,-0.010054512416717065,107030.0963084703
2026-02-09,421.5,417.04999999999995,422.59999999999997,-1,0.011033821060206339,-1,-0.011033821060206339,105849.14537774597
2026-02-10,427.3,421.8999999999999,421.4142857142857,1,0.01376037959667853,1,-0.01376037959667853,104392.62095736417
2026-02-11,433.65,427.48333333333335,422.02142857142854,1,0.014860753568921137,1,0.014860753568921137,105943.97397182535
2026-02-12,439.2,433.3833333333334,424.2142857142857,1,0.012798339674852999,1,0.012798339674852999,107299.88093722056
2026-02-13,446.1,439.65000000000003,428.2,1,0.015710382513661303,1,0.015710382513661303,108985.60311041461
2026-02-16,451.75,445.68333333333334,433.7714285714286,1,0.012665321676754049,1,0.012665321676754049,110365.94083194307
2026-02-17,448.4,448.75,438.2714285714286,1,-0.007415605976757056,1,-0.007415605976757056,109547.51050147928
2026-02-18,455.9,452.01666666666665,443.1857142857143,1,0.016726137377341743,1,0.016726137377341743,111379.81721147281
2026-02-19,462.35,455.55,448.1928571428571,1,0.01414783943847353,1,0.01414783943847353,112955.60098206725
2026-02-20,468.8,462.34999999999997,453.2142857142857,1,0.013950470422839922,1,0.013950470422839922,114531.38475266169
2026-02-23,464.25,465.1333333333334,456.79285714285714,1,-0.00970563139931746,1,-0.00970563139931746,113419.78534859896
2026-02-24,471.6,468.2166666666667,460.4357142857143,1,0.01583198707592892,1,0.01583198707592892,115215.44592439261
2026-02-25,477.15,471.0,464.0642857142857,1,0.011768447837150031,1,0.011768447837150031,116571.35288978781
2026-02-26,473.4,474.05,467.63571428571424,1,-0.007859163784973311,1,-0.007859163784973311,115655.19953479104
2026-02-27,480.9,477.1499999999999,471.20714285714286,1,0.01584283903675532,1,0.01584283903675532,117487.50624478454
2026-03-02,486.55,480.2833333333333,474.6642857142857,1,0.011748804325223627,1,0.011748804325223627,118867.843966313
2026-03-03,482.1,483.18333333333334,476.56428571428575,1,-0.009146028157434927,1,-0.009146028157434927,117780.67531838352
2026-03-04,475.8,481.48333333333335,478.2142857142857,1,-0.013067828251400182,1,-0.013067828251400182,116241.53768198895
2026-03-05,469.35,475.75,477.89285714285717,-1,-0.013556116015132402,-1,-0.013556116015132402,114665.75391139452
2026-03-06,472.9,472.68333333333334,477.2857142857143,-1,0.0075636518589536905,-1,-0.0075636518589536905,113798.46206866429
2026-03-09,466.4,469.55,476.2857142857143,-1,-0.013744977796574354,-1,0.013744977796574354,115362.61940308238
2026-03-10,459.75,466.34999999999997,473.2642857142857,-1,-0.014258147512864472,-1,0.014258147512864472,117007.47664800198
2026-03-11,453.2,459.7833333333333,468.5,-1,-0.014246873300706953,-1,0.014246873300706953,118674.46734304148
2026-03-12,457.85,456.93333333333334,465.0357142857143,-1,0.010260370697263932,-1,-0.010260370697263932,117456.82331580154
2026-03-13,463.5,458.18333333333334,463.2785714285714,-1,0.012340286119908228,-1,-0.012340286119908228,116007.37250934905
2026-03-16,470.25,463.8666666666666,463.40714285714284,1,0.014563106796116498,1,-0.014563106796116498,114317.94475435853
2026-03-17,476.8,470.1833333333334,463.9642857142857,1,0.013928761297182346,1,0.013928761297182346,115910.25211882647
2026-03-18,483.4,476.81666666666666,466.39285714285717,1,0.013842281879194562,1,0.013842281879194562,117514.71450134377
2026-03-19,489.95,483.3833333333334,470.7071428571429,1,0.013549855192387383,1,0.013549855192387383,119107.02186581172
2026-03-20,485.3,486.2166666666667,475.2928571428571,1,-0.009490764363710547,1,-0.009490764363710547,117976.60518721999
2026-03-23,492.7,489.31666666666666,480.2714285714286,1,0.015248300020605843,1,0.015248300020605843,119775.5478585273
2026-03-24,498.15,492.04999999999995,485.22142857142853,1,0.011061497868885661,1,0.011061497868885661,121100.444825909
2026-03-25,494.6,495.15000000000003,488.7,1,-0.007126367559971758,1,-0.007126367559971758,120237.4385444035
2026-03-26,501.8,498.18333333333334,492.2714285714286,1,0.01455721795390219,1,0.01455721795390219,121987.7611435133
2026-03-27,507.25,501.2166666666667,495.67857142857144,1,0.01086090075727375,1,0.01086090075727375,123312.65811089502
